단계,레벨,공격력,방어력,체력,공격력 강화 비용(G),방어력 강화 비용(G),체력 강화 비용(G),공격력 누적 비용(G),방어력 누적 비용(G),체력 누적 비용(G)
1,57,114,57,855,11,11,11,626,626,626
1,58,116,58,870,11,11,11,637,637,637
1,59,118,59,885,11,11,11,648,648,648
1,60,120,60,900,11,11,11,659,659,659
1,61,122,61,915,11,11,11,670,670,670
1,62,124,62,930,11,11,11,681,681,681
1,63,126,63,945,11,11,11,692,692,692
1,64,128,64,960,12,11,11,703,703,703
1,65,130,65,975,12,11,11,715,714,714
1,66,132,66,990,12,11,11,727,725,725
1,67,134,67,1005,12,11,11,739,736,736
1,68,136,68,1020,12,11,11,751,747,747
1,69,138,69,1035,12,11,11,763,758,758
1,70,140,70,1050,12,11,11,775,769,769
1,71,142,71,1065,12,11,11,787,780,780
1,72,144,72,1080,12,11,11,799,791,791
1,73,146,73,1095,12,11,11,811,802,802
1,74,148,74,1110,12,12,11,823,813,813
1,75,150,75,1125,12,12,11,835,825,824
1,76,152,76,1140,12,12,11,847,837,835
1,77,154,77,1155,12,12,11,859,849,846
1,78,156,78,1170,12,12,11,871,861,857
1,79,158,79,1185,12,12,11,883,873,868
1,80,160,80,1200,12,12,11,895,885,879
1,81,162,81,1215,12,12,11,907,897,890
1,82,164,82,1230,12,12,11,919,909,901
1,83,166,83,1245,12,12,11,931,921,912
1,84,168,84,1260,12,12,11,943,933,923
1,85,170,85,1275,12,12,11,955,945,934
1,86,172,86,1290,12,12,11,967,957,945
1,87,174,87,1305,12,12,12,979,969,956
1,88,176,88,1320,12,12,12,991,981,968
1,89,178,89,1335,12,12,12,1003,993,980
1,90,180,90,1350,12,12,12,1015,1005,992
1,91,182,91,1365,12,12,12,1027,1017,1004
1,92,184,92,1380,12,12,12,1039,1029,1016
1,93,186,93,1395,12,12,12,1051,1041,1028
1,94,188,94,1410,12,12,12,1063,1053,1040
1,95,190,95,1425,12,12,12,1075,1065,1052
1,96,192,96,1440,12,12,12,1087,1077,1064
1,97,194,97,1455,12,12,12,1099,1089,1076
1,98,196,98,1470,12,12,12,1111,1101,1088
1,99,198,99,1485,12,12,12,1123,1113,1100
1,100,200,100,1500,12,12,12,1135,1125,1112
1,101,202,101,1515,12,12,12,1147,1137,1124
1,102,204,102,1530,12,12,12,1159,1149,1136
1,103,206,103,1545,12,12,12,1171,1161,1148
1,104,208,104,1560,12,12,12,1183,1173,1160
1,105,210,105,1575,12,12,12,1195,1185,1172
1,106,212,106,1590,12,12,12,1207,1197,1184
1,107,214,107,1605,12,12,12,1219,1209,1196
1,108,216,108,1620,12,12,12,1231,1221,1208
1,109,218,109,1635,12,12,12,1243,1233,1220
1,110,220,110,1650,12,12,12,1255,1245,1232
1,111,222,111,1665,12,12,12,1267,1257,1244
1,112,224,112,1680,12,12,12,1279,1269,1256
1,113,226,113,1695,12,12,12,1291,1281,1268
1,114,228,114,1710,12,12,12,1303,1293,1280
1,115,230,115,1725,12,12,12,1315,1305,1292
1,116,232,116,1740,12,12,12,1327,1317,1304
1,117,234,117,1755,12,12,12,1339,1329,1316
1,118,236,118,1770,12,12,12,1351,1341,1328
1,119,238,119,1785,12,12,12,1363,1353,1340
1,120,240,120,1800,12,12,12,1375,1365,1352
1,121,242,121,1815,12,12,12,1387,1377,1364
1,122,244,122,1830,13,12,12,1399,1389,1376
1,123,246,123,1845,13,12,12,1412,1401,1388
1,124,248,124,1860,13,12,12,1425,1413,1400
1,125,250,125,1875,13,12,12,1438,1425,1412
1,126,252,126,1890,13,12,12,1451,1437,1424
1,127,254,127,1905,13,12,12,1464,1449,1436
1,128,256,128,1920,13,12,12,1477,1461,1448
1,129,258,129,1935,13,12,12,1490,1473,1460
1,130,260,130,1950,13,12,12,1503,1485,1472
1,131,262,131,1965,13,12,12,1516,1497,1484
1,132,264,132,1980,13,12,12,1529,1509,1496
1,133,266,133,1995,13,12,12,1542,1521,1508
1,134,268,134,2010,13,12,12,1555,1533,1520
1,135,270,135,2025,13,12,12,1568,1545,1532
1,136,272,136,2040,13,12,12,1581,1557,1544
1,137,274,137,2055,13,12,12,1594,1569,1556
1,138,276,138,2070,13,12,12,1607,1581,1568
1,139,278,139,2085,13,12,12,1620,1593,1580
1,140,280,140,2100,13,12,12,1633,1605,1592
1,141,282,141,2115,13,13,12,1646,1617,1604
1,142,284,142,2130,13,13,12,1659,1630,1616
1,143,286,143,2145,13,13,12,1672,1643,1628
1,144,288,144,2160,13,13,12,1685,1656,1640
1,145,290,145,2175,13,13,12,1698,1669,1652
1,146,292,146,2190,13,13,12,1711,1682,1664
1,147,294,147,2205,13,13,12,1724,1695,1676
1,148,296,148,2220,13,13,12,1737,1708,1688
1,149,298,149,2235,13,13,12,1750,1721,1700
1,150,300,150,2250,13,13,12,1763,1734,1712
1,151,302,151,2265,13,13,12,1776,1747,1724
1,152,304,152,2280,13,13,12,1789,1760,1736
1,153,306,153,2295,13,13,12,1802,1773,1748
1,154,308,154,2310,13,13,12,1815,1786,1760
1,155,310,155,2325,13,13,12,1828,1799,1772
1,156,312,156,2340,13,13,12,1841,1812,1784
1,157,314,157,2355,13,13,12,1854,1825,1796
1,158,316,158,2370,13,13,12,1867,1838,1808
1,159,318,159,2385,13,13,12,1880,1851,1820
1,160,320,160,2400,13,13,12,1893,1864,1832
1,161,322,161,2415,13,13,12,1906,1877,1844
1,162,324,162,2430,13,13,12,1919,1890,1856
1,163,326,163,2445,13,13,12,1932,1903,1868
1,164,328,164,2460,13,13,12,1945,1916,1880
1,165,330,165,2475,13,13,12,1958,1929,1892
1,166,332,166,2490,13,13,13,1971,1942,1904
1,167,334,167,2505,13,13,13,1984,1955,1917
1,168,336,168,2520,13,13,13,1997,1968,1930
1,169,338,169,2535,13,13,13,2010,1981,1943
1,170,340,170,2550,13,13,13,2023,1994,1956
1,171,342,171,2565,13,13,13,2036,2007,1969
1,172,344,172,2580,13,13,13,2049,2020,1982
1,173,346,173,2595,13,13,13,2062,2033,1995
1,174,348,174,2610,13,13,13,2075,2046,2008
1,175,350,175,2625,13,13,13,2088,2059,2021
1,176,352,176,2640,14,13,13,2101,2072,2034
1,177,354,177,2655,14,13,13,2115,2085,2047
1,178,356,178,2670,14,13,13,2129,2098,2060
1,179,358,179,2685,14,13,13,2143,2111,2073
1,180,360,180,2700,14,13,13,2157,2124,2086
1,181,362,181,2715,14,13,13,2171,2137,2099
1,182,364,182,2730,14,13,13,2185,2150,2112
1,183,366,183,2745,14,13,13,2199,2163,2125
1,184,368,184,2760,14,13,13,2213,2176,2138
1,185,370,185,2775,14,13,13,2227,2189,2151
1,186,372,186,2790,14,13,13,2241,2202,2164
1,187,374,187,2805,14,13,13,2255,2215,2177
1,188,376,188,2820,14,13,13,2269,2228,2190
1,189,378,189,2835,14,13,13,2283,2241,2203
1,190,380,190,2850,14,13,13,2297,2254,2216
1,191,382,191,2865,14,13,13,2311,2267,2229
1,192,384,192,2880,14,13,13,2325,2280,2242
1,193,386,193,2895,14,13,13,2339,2293,2255
1,194,388,194,2910,14,13,13,2353,2306,2268
1,195,390,195,2925,14,13,13,2367,2319,2281
1,196,392,196,2940,14,13,13,2381,2332,2294
1,197,394,197,2955,14,13,13,2395,2345,2307
1,198,396,198,2970,14,13,13,2409,2358,2320
1,199,398,199,2985,14,13,13,2423,2371,2333
1,200,400,200,3000,14,13,13,2437,2384,2346
2,0,0,0,0,12,12,12,0,0,0
2,1,2,1,10,13,13,13,12,12,12
2,2,3,2,20,13,13,13,25,25,25
2,3,4,2,30,13,13,13,38,38,38
2,4,6,3,40,13,13,13,51,51,51
2,5,7,4,50,13,13,13,64,64,64
2,6,8,4,60,13,13,13,77,77,77
2,7,10,5,70,13,13,13,90,90,90
2,8,11,6,80,13,13,13,103,103,103
2,9,12,6,90,13,13,13,116,116,116
2,10,14,7,100,13,13,13,129,129,129
2,11,15,8,110,13,13,13,142,142,142
2,12,16,8,120,13,13,13,155,155,155
2,13,18,9,130,13,13,13,168,168,168
2,14,19,10,140,13,13,13,181,181,181
2,15,20,10,150,13,13,13,194,194,194
2,16,22,11,160,13,13,13,207,207,207
2,17,23,12,170,13,13,13,220,220,220
2,18,24,12,180,13,13,13,233,233,233
2,19,26,13,190,13,13,13,246,246,246
2,20,27,14,200,13,13,13,259,259,259
2,21,28,14,210,13,13,13,272,272,272
2,22,30,15,220,13,13,13,285,285,285
2,23,31,16,230,13,13,13,298,298,298
2,24,32,16,240,13,13,13,311,311,311
2,25,34,17,250,13,13,13,324,324,324
2,26,35,18,260,13,13,13,337,337,337
2,27,36,18,270,13,13,13,350,350,350
2,28,38,19,280,13,13,13,363,363,363
2,29,39,20,290,13,13,13,376,376,376
2,30,40,20,300,13,13,13,389,389,389
2,31,42,21,310,13,13,13,402,402,402
2,32,43,22,320,13,13,13,415,415,415
2,33,44,22,330,13,13,13,428,428,428
2,34,46,23,340,13,13,13,441,441,441
2,35,47,24,350,13,13,13,454,454,454
2,36,48,24,360,13,13,13,467,467,467
2,37,50,25,370,13,13,13,480,480,480
2,38,51,26,380,13,13,13,493,493,493
2,39,52,26,390,13,13,13,506,506,506
2,40,54,27,400,13,13,13,519,519,519
2,41,55,28,410,13,13,13,532,532,532
2,42,56,28,420,13,13,13,545,545,545
2,43,58,29,430,13,13,13,558,558,558
2,44,59,30,440,13,13,13,571,571,571
2,45,60,30,450,13,13,13,584,584,584
2,46,62,31,460,13,13,13,597,597,597
2,47,63,32,470,13,13,13,610,610,610
2,48,64,32,480,14,13,13,623,623,623
2,49,66,33,490,14,13,13,637,636,636
2,50,67,34,500,14,13,13,651,649,649
2,51,68,34,510,14,13,13,665,662,662
2,52,70,35,520,14,13,13,679,675,675
2,53,71,36,530,14,13,13,693,688,688
2,54,72,36,540,14,14,13,707,701,701
2,55,74,37,550,14,14,13,721,715,714
2,56,75,38,560,14,14,13,735,729,727
2,57,76,38,570,14,14,13,749,743,740
2,58,78,39,580,14,14,13,763,757,753
2,59,79,40,590,14,14,13,777,771,766
2,60,80,40,600,14,14,13,791,785,779
2,61,82,41,610,14,14,13,805,799,792
2,62,83,42,620,14,14,14,819,813,805
2,63,84,42,630,14,14,14,833,827,819
2,64,86,43,640,14,14,14,847,841,833
2,65,87,44,650,14,14,14,861,855,847
2,66,88,44,660,14,14,14,875,869,861
2,67,90,45,670,14,14,14,889,883,875
2,68,91,46,680,14,14,14,903,897,889
2,69,92,46,690,14,14,14,917,911,903
2,70,94,47,700,14,14,14,931,925,917
2,71,95,48,710,14,14,14,945,939,931
2,72,96,48,720,14,14,14,959,953,945
2,73,98,49,730,14,14,14,973,967,959
2,74,99,50,740,14,14,14,987,981,973
2,75,100,50,750,14,14,14,1001,995,987
2,76,102,51,760,14,14,14,1015,1009,1001
2,77,103,52,770,14,14,14,1029,1023,1015
2,78,104,52,780,14,14,14,1043,1037,1029
2,79,106,53,790,14,14,14,1057,1051,1043
2,80,107,54,800,14,14,14,1071,1065,1057
2,81,108,54,810,14,14,14,1085,1079,1071
2,82,110,55,820,14,14,14,1099,1093,1085
2,83,111,56,830,14,14,14,1113,1107,1099
2,84,112,56,840,14,14,14,1127,1121,1113
2,85,114,57,850,14,14,14,1141,1135,1127
2,86,115,58,860,14,14,14,1155,1149,1141
2,87,116,58,870,14,14,14,1169,1163,1155
2,88,118,59,880,14,14,14,1183,1177,1169
2,89,119,60,890,14,14,14,1197,1191,1183
2,90,120,60,900,14,14,14,1211,1205,1197
2,91,122,61,910,15,14,14,1225,1219,1211
2,92,123,62,920,15,14,14,1240,1233,1225
2,93,124,62,930,15,14,14,1255,1247,1239
2,94,126,63,940,15,14,14,1270,1261,1253
2,95,127,64,950,15,14,14,1285,1275,1267
2,96,128,64,960,15,14,14,1300,1289,1281
2,97,130,65,970,15,14,14,1315,1303,1295
2,98,131,66,980,15,14,14,1330,1317,1309
2,99,132,66,990,15,14,14,1345,1331,1323
2,100,134,67,1000,15,14,14,1360,1345,1337
2,101,135,68,1010,15,14,14,1375,1359,1351
2,102,136,68,1020,15,14,14,1390,1373,1365
2,103,138,69,1030,15,15,14,1405,1387,1379
2,104,139,70,1040,15,15,14,1420,1402,1393
2,105,140,70,1050,15,15,14,1435,1417,1407
2,106,142,71,1060,15,15,14,1450,1432,1421
2,107,143,72,1070,15,15,14,1465,1447,1435
2,108,144,72,1080,15,15,14,1480,1462,1449
2,109,146,73,1090,15,15,14,1495,1477,1463
2,110,147,74,1100,15,15,14,1510,1492,1477
2,111,148,74,1110,15,15,14,1525,1507,1491
2,112,150,75,1120,15,15,14,1540,1522,1505
2,113,151,76,1130,15,15,14,1555,1537,1519
2,114,152,76,1140,15,15,14,1570,1552,1533
2,115,154,77,1150,15,15,14,1585,1567,1547
2,116,155,78,1160,15,15,14,1600,1582,1561
2,117,156,78,1170,15,15,14,1615,1597,1575
2,118,158,79,1180,15,15,14,1630,1612,1589
2,119,159,80,1190,15,15,15,1645,1627,1603
2,120,160,80,1200,15,15,15,1660,1642,1618
2,121,162,81,1210,15,15,15,1675,1657,1633
2,122,163,82,1220,15,15,15,1690,1672,1648
2,123,164,82,1230,15,15,15,1705,1687,1663
2,124,166,83,1240,15,15,15,1720,1702,1678
2,125,167,84,1250,15,15,15,1735,1717,1693
2,126,168,84,1260,15,15,15,1750,1732,1708
2,127,170,85,1270,15,15,15,1765,1747,1723
2,128,171,86,1280,15,15,15,1780,1762,1738
2,129,172,86,1290,15,15,15,1795,1777,1753
2,130,174,87,1300,15,15,15,1810,1792,1768
2,131,175,88,1310,15,15,15,1825,1807,1783
2,132,176,88,1320,16,15,15,1840,1822,1798
2,133,178,89,1330,16,15,15,1856,1837,1813
2,134,179,90,1340,16,15,15,1872,1852,1828
2,135,180,90,1350,16,15,15,1888,1867,1843
2,136,182,91,1360,16,15,15,1904,1882,1858
2,137,183,92,1370,16,15,15,1920,1897,1873
2,138,184,92,1380,16,15,15,1936,1912,1888
2,139,186,93,1390,16,15,15,1952,1927,1903
2,140,187,94,1400,16,15,15,1968,1942,1918
2,141,188,94,1410,16,15,15,1984,1957,1933
2,142,190,95,1420,16,15,15,2000,1972,1948
2,143,191,96,1430,16,15,15,2016,1987,1963
2,144,192,96,1440,16,15,15,2032,2002,1978
2,145,194,97,1450,16,15,15,2048,2017,1993
2,146,195,98,1460,16,15,15,2064,2032,2008
2,147,196,98,1470,16,15,15,2080,2047,2023
2,148,198,99,1480,16,15,15,2096,2062,2038
2,149,199,100,1490,16,16,15,2112,2077,2053
2,150,200,100,1500,16,16,15,2128,2093,2068
2,151,202,101,1510,16,16,15,2144,2109,2083
2,152,203,102,1520,16,16,15,2160,2125,2098
2,153,204,102,1530,16,16,15,2176,2141,2113
2,154,206,103,1540,16,16,15,2192,2157,2128
2,155,207,104,1550,16,16,15,2208,2173,2143
2,156,208,104,1560,16,16,15,2224,2189,2158
2,157,210,105,1570,16,16,15,2240,2205,2173
2,158,211,106,1580,16,16,15,2256,2221,2188
2,159,212,106,1590,16,16,15,2272,2237,2203
2,160,214,107,1600,16,16,15,2288,2253,2218
2,161,215,108,1610,16,16,15,2304,2269,2233
2,162,216,108,1620,16,16,15,2320,2285,2248
2,163,218,109,1630,16,16,15,2336,2301,2263
2,164,219,110,1640,16,16,15,2352,2317,2278
2,165,220,110,1650,16,16,15,2368,2333,2293
2,166,222,111,1660,16,16,15,2384,2349,2308
2,167,223,112,1670,16,16,15,2400,2365,2323
2,168,224,112,1680,16,16,15,2416,2381,2338
2,169,226,113,1690,16,16,15,2432,2397,2353
2,170,227,114,1700,17,16,15,2448,2413,2368
2,171,228,114,1710,17,16,15,2465,2429,2383
2,172,230,115,1720,17,16,16,2482,2445,2398
2,173,231,116,1730,17,16,16,2499,2461,2414
2,174,232,116,1740,17,16,16,2516,2477,2430
2,175,234,117,1750,17,16,16,2533,2493,2446
2,176,235,118,1760,17,16,16,2550,2509,2462
2,177,236,118,1770,17,16,16,2567,2525,2478
2,178,238,119,1780,17,16,16,2584,2541,2494
2,179,239,120,1790,17,16,16,2601,2557,2510
2,180,240,120,1800,17,16,16,2618,2573,2526
2,181,242,121,1810,17,16,16,2635,2589,2542
2,182,243,122,1820,17,16,16,2652,2605,2558
2,183,244,122,1830,17,16,16,2669,2621,2574
2,184,246,123,1840,17,16,16,2686,2637,2590
2,185,247,124,1850,17,16,16,2703,2653,2606
2,186,248,124,1860,17,16,16,2720,2669,2622
2,187,250,125,1870,17,16,16,2737,2685,2638
2,188,251,126,1880,17,16,16,2754,2701,2654
2,189,252,126,1890,17,16,16,2771,2717,2670
2,190,254,127,1900,17,16,16,2788,2733,2686
2,191,255,128,1910,17,16,16,2805,2749,2702
2,192,256,128,1920,17,17,16,2822,2765,2718
2,193,258,129,1930,17,17,16,2839,2782,2734
2,194,259,130,1940,17,17,16,2856,2799,2750
2,195,260,130,1950,17,17,16,2873,2816,2766
2,196,262,131,1960,17,17,16,2890,2833,2782
2,197,263,132,1970,17,17,16,2907,2850,2798
2,198,264,132,1980,17,17,16,2924,2867,2814
2,199,266,133,1990,17,17,16,2941,2884,2830
2,200,267,134,2000,17,17,16,2958,2901,2846
2,201,268,134,2010,17,17,16,2975,2918,2862
2,202,270,135,2020,17,17,16,2992,2935,2878
2,203,271,136,2030,17,17,16,3009,2952,2894
2,204,272,136,2040,17,17,16,3026,2969,2910
2,205,274,137,2050,17,17,16,3043,2986,2926
2,206,275,138,2060,18,17,16,3060,3003,2942
2,207,276,138,2070,18,17,16,3078,3020,2958
2,208,278,139,2080,18,17,16,3096,3037,2974
2,209,279,140,2090,18,17,16,3114,3054,2990
2,210,280,140,2100,18,17,16,3132,3071,3006
2,211,282,141,2110,18,17,16,3150,3088,3022
2,212,283,142,2120,18,17,16,3168,3105,3038
2,213,284,142,2130,18,17,16,3186,3122,3054
2,214,286,143,2140,18,17,16,3204,3139,3070
2,215,287,144,2150,18,17,16,3222,3156,3086
2,216,288,144,2160,18,17,16,3240,3173,3102
2,217,290,145,2170,18,17,16,3258,3190,3118
2,218,291,146,2180,18,17,16,3276,3207,3134
2,219,292,146,2190,18,17,16,3294,3224,3150
2,220,294,147,2200,18,17,16,3312,3241,3166
2,221,295,148,2210,18,17,16,3330,3258,3182
2,222,296,148,2220,18,17,17,3348,3275,3198
2,223,298,149,2230,18,17,17,3366,3292,3215
2,224,299,150,2240,18,17,17,3384,3309,3232
2,225,300,150,2250,18,17,17,3402,3326,3249
2,226,302,151,2260,18,17,17,3420,3343,3266
2,227,303,152,2270,18,17,17,3438,3360,3283
2,228,304,152,2280,18,17,17,3456,3377,3300
2,229,306,153,2290,18,17,17,3474,3394,3317
2,230,307,154,2300,18,17,17,3492,3411,3334
2,231,308,154,2310,18,17,17,3510,3428,3351
2,232,310,155,2320,18,17,17,3528,3445,3368
2,233,311,156,2330,18,18,17,3546,3462,3385
2,234,312,156,2340,18,18,17,3564,3480,3402
2,235,314,157,2350,18,18,17,3582,3498,3419
2,236,315,158,2360,18,18,17,3600,3516,3436
2,237,316,158,2370,18,18,17,3618,3534,3453
2,238,318,159,2380,18,18,17,3636,3552,3470
2,239,319,160,2390,19,18,17,3654,3570,3487
2,240,320,160,2400,19,18,17,3673,3588,3504
2,241,322,161,2410,19,18,17,3692,3606,3521
2,242,323,162,2420,19,18,17,3711,3624,3538
2,243,324,162,2430,19,18,17,3730,3642,3555
2,244,326,163,2440,19,18,17,3749,3660,3572
2,245,327,164,2450,19,18,17,3768,3678,3589
2,246,328,164,2460,19,18,17,3787,3696,3606
2,247,330,165,2470,19,18,17,3806,3714,3623
2,248,331,166,2480,19,18,17,3825,3732,3640
2,249,332,166,2490,19,18,17,3844,3750,3657
2,250,334,167,2500,19,18,17,3863,3768,3674
2,251,335,168,2510,19,18,17,3882,3786,3691
2,252,336,168,2520,19,18,17,3901,3804,3708
2,253,338,169,2530,19,18,17,3920,3822,3725
2,254,339,170,2540,19,18,17,3939,3840,3742
2,255,340,170,2550,19,18,17,3958,3858,3759
2,256,342,171,2560,19,18,17,3977,3876,3776
2,257,343,172,2570,19,18,17,3996,3894,3793
2,258,344,172,2580,19,18,17,4015,3912,3810
2,259,346,173,2590,19,18,17,4034,3930,3827
2,260,347,174,2600,19,18,17,4053,3948,3844
2,261,348,174,2610,19,18,17,4072,3966,3861
2,262,350,175,2620,19,18,17,4091,3984,3878
2,263,351,176,2630,19,18,17,4110,4002,3895
2,264,352,176,2640,19,18,17,4129,4020,3912
2,265,354,177,2650,19,18,17,4148,4038,3929
2,266,355,178,2660,19,18,17,4167,4056,3946
2,267,356,178,2670,19,18,17,4186,4074,3963
2,268,358,179,2680,19,18,17,4205,4092,3980
2,269,359,180,2690,19,18,18,4224,4110,3997
2,270,360,180,2700,19,18,18,4243,4128,4015
2,271,362,181,2710,20,19,18,4262,4146,4033
2,272,363,182,2720,20,19,18,4282,4165,4051
2,273,364,182,2730,20,19,18,4302,4184,4069
2,274,366,183,2740,20,19,18,4322,4203,4087
2,275,367,184,2750,20,19,18,4342,4222,4105
2,276,368,184,2760,20,19,18,4362,4241,4123
2,277,370,185,2770,20,19,18,4382,4260,4141
2,278,371,186,2780,20,19,18,4402,4279,4159
2,279,372,186,2790,20,19,18,4422,4298,4177
2,280,374,187,2800,20,19,18,4442,4317,4195
2,281,375,188,2810,20,19,18,4462,4336,4213
2,282,376,188,2820,20,19,18,4482,4355,4231
2,283,378,189,2830,20,19,18,4502,4374,4249
2,284,379,190,2840,20,19,18,4522,4393,4267
2,285,380,190,2850,20,19,18,4542,4412,4285
2,286,382,191,2860,20,19,18,4562,4431,4303
2,287,383,192,2870,20,19,18,4582,4450,4321
2,288,384,192,2880,20,19,18,4602,4469,4339
2,289,386,193,2890,20,19,18,4622,4488,4357
2,290,387,194,2900,20,19,18,4642,4507,4375
2,291,388,194,2910,20,19,18,4662,4526,4393
2,292,390,195,2920,20,19,18,4682,4545,4411
2,293,391,196,2930,20,19,18,4702,4564,4429
2,294,392,196,2940,20,19,18,4722,4583,4447
2,295,394,197,2950,20,19,18,4742,4602,4465
2,296,395,198,2960,20,19,18,4762,4621,4483
2,297,396,198,2970,20,19,18,4782,4640,4501
2,298,398,199,2980,20,19,18,4802,4659,4519
2,299,399,200,2990,20,19,18,4822,4678,4537
2,300,400,200,3000,20,19,18,4842,4697,4555
2,301,402,201,3010,21,19,18,4862,4716,4573
2,302,403,202,3020,21,19,18,4883,4735,4591
2,303,404,202,3030,21,19,18,4904,4754,4609
2,304,406,203,3040,21,19,18,4925,4773,4627
2,305,407,204,3050,21,19,18,4946,4792,4645
2,306,408,204,3060,21,19,18,4967,4811,4663
2,307,410,205,3070,21,20,18,4988,4830,4681
2,308,411,206,3080,21,20,18,5009,4850,4699
2,309,412,206,3090,21,20,18,5030,4870,4717
2,310,414,207,3100,21,20,18,5051,4890,4735
2,311,415,208,3110,21,20,18,5072,4910,4753
2,312,416,208,3120,21,20,18,5093,4930,4771
2,313,418,209,3130,21,20,19,5114,4950,4789
2,314,419,210,3140,21,20,19,5135,4970,4808
2,315,420,210,3150,21,20,19,5156,4990,4827
2,316,422,211,3160,21,20,19,5177,5010,4846
2,317,423,212,3170,21,20,19,5198,5030,4865
2,318,424,212,3180,21,20,19,5219,5050,4884
2,319,426,213,3190,21,20,19,5240,5070,4903
2,320,427,214,3200,21,20,19,5261,5090,4922
2,321,428,214,3210,21,20,19,5282,5110,4941
2,322,430,215,3220,21,20,19,5303,5130,4960
2,323,431,216,3230,21,20,19,5324,5150,4979
2,324,432,216,3240,21,20,19,5345,5170,4998
2,325,434,217,3250,21,20,19,5366,5190,5017
2,326,435,218,3260,21,20,19,5387,5210,5036
2,327,436,218,3270,21,20,19,5408,5230,5055
2,328,438,219,3280,21,20,19,5429,5250,5074
2,329,439,220,3290,21,20,19,5450,5270,5093
2,330,440,220,3300,22,20,19,5471,5290,5112
2,331,442,221,3310,22,20,19,5493,5310,5131
2,332,443,222,3320,22,20,19,5515,5330,5150
2,333,444,222,3330,22,20,19,5537,5350,5169
2,334,446,223,3340,22,20,19,5559,5370,5188
2,335,447,224,3350,22,20,19,5581,5390,5207
2,336,448,224,3360,22,20,19,5603,5410,5226
2,337,450,225,3370,22,20,19,5625,5430,5245
2,338,451,226,3380,22,20,19,5647,5450,5264
2,339,452,226,3390,22,20,19,5669,5470,5283
2,340,454,227,3400,22,20,19,5691,5490,5302
2,341,455,228,3410,22,21,19,5713,5510,5321
2,342,456,228,3420,22,21,19,5735,5531,5340
2,343,458,229,3430,22,21,19,5757,5552,5359
2,344,459,230,3440,22,21,19,5779,5573,5378
2,345,460,230,3450,22,21,19,5801,5594,5397
2,346,462,231,3460,22,21,19,5823,5615,5416
2,347,463,232,3470,22,21,19,5845,5636,5435
2,348,464,232,3480,22,21,19,5867,5657,5454
2,349,466,233,3490,22,21,19,5889,5678,5473
2,350,467,234,3500,22,21,19,5911,5699,5492
2,351,468,234,3510,22,21,19,5933,5720,5511
